Sentiment,Count,Category
A bitter experience turned into a valuable lesson.,1,Negative
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",3,Positive
A cozy evening with a good movie.,1,Negative
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",1,Negative
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",2,Neutral
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",1,Negative
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",1,Negative
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",1,Negative
A moment of shame for not speaking up against injustice.,1,Negative
A moment of shame for not standing up against injustice.,1,Negative
"A moment of tenderness, connecting with loved ones.",1,Negative
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",1,Negative
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",3,Positive
A surprise gift from a friend made my day!,1,Negative
A surprise visit from an old friend brought tears of joy.,1,Negative
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",1,Negative
Admiring the beauty of nature during a peaceful hike.,1,Negative
Admiring the dedication of volunteers at a local charity.,1,Negative
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",1,Negative
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",1,Negative
Amused by the antics of my petâit's pure amusement!,1,Negative
An amusing incident brightened up my day!,1,Negative
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",1,Negative
Anticipating a thrilling adventure in the coming weeks.,1,Negative
Anticipating the release of a much-awaited movie.,1,Negative
"Anxiety grips my chest, a relentless grip on my thoughts.",1,Negative
"Anxiety grips my heart, worry clouds my thoughts.",1,Negative
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",1,Negative
"Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt.",1,Negative
Arousal of excitement as I await a special announcement.,1,Negative
Arousal of excitement before a much-awaited trip.,1,Negative
Arousal of excitement for an upcoming adventure.,1,Negative
Arousal of excitement for an upcoming festival.,1,Negative
Attending a live music concert tonight.,1,Negative
Attending a virtual conference on AI.,1,Negative
Attending a virtual reality meetup.,1,Negative
Awe-struck by the beauty of the night sky.,1,Negative
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",1,Negative
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",1,Negative
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",1,Negative
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",2,Neutral
Bitter experience at the customer service department.,1,Negative
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",1,Negative
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",1,Negative
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",1,Negative
"Boredom lingers, a stagnant pool of indifference.",1,Negative
"Boredom sets in, the day feels endlessly dull.",1,Negative
"Boredom settles like dust, life feels mundane.",1,Negative
Calmness prevails as I practice mindfulness.,1,Negative
Can't believe the injustice happening in our society.,1,Negative
Celebrating a friend's birthday tonight! ð,1,Negative
Celebrating a milestone at work! ð,1,Negative
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",2,Neutral
Coding a new project with enthusiasm.,1,Negative
Compassion in action: supporting a local charity event.,1,Negative
Compassion in volunteering for a local charity.,1,Negative
Compassion shown through acts of kindness in the community.,1,Negative
Compassion towards those in need during the holidays.,1,Negative
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",1,Negative
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",2,Neutral
Confusion clouds my mind as I navigate through decisions.,1,Negative
Confusion reigns as I try to make sense of recent events.,1,Negative
Confusion surrounds me as I navigate through life's choices.,1,Negative
Contentment in the embrace of a loved one.,1,Negative
Contentment in the simplicity of a home-cooked meal.,1,Negative
Contentment in the simplicity of a quiet Sunday.,1,Negative
Cooking a special dinner for loved ones.,1,Negative
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",1,Negative
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",1,Negative
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",1,Negative
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",1,Negative
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",1,Negative
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",1,Negative
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",1,Negative
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",1,Negative
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",1,Negative
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole.",1,Negative
Disappointed with the lack of progress in a personal project.,1,Negative
Disappointed with the service at a local restaurant.,1,Negative
Disgust at the corruption that stains society.,1,Negative
Disgust at the sight of injustice and cruelty.,1,Negative
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",2,Neutral
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",1,Negative
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",1,Negative
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",1,Negative
"Drowning in despair, hope slipping through my fingers.",1,Negative
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",1,Negative
Elation after a surprise reunion with a childhood friend.,1,Negative
Elation after a surprise reunion with old friends.,1,Negative
Elation after achieving a fitness milestone.,1,Negative
Elation after achieving a personal goal.,1,Negative
Elation over discovering a hidden gem in the city.,1,Negative
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",1,Negative
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",3,Positive
Embracing acceptance of life's ups and downs.,1,Negative
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",1,Negative
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",1,Negative
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",1,Negative
"Embracing the beauty of nature, a moment of contentment.",1,Negative
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",1,Negative
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",1,Negative
Empowered to make a difference in my community.,1,Negative
Empowerment through learning a new skill.,1,Negative
Empowerment through learning and personal growth.,1,Negative
Empowerment through mentoring and guiding others.,1,Negative
Enjoying a beautiful day at the park!,1,Negative
